date,Aroon Down,Aroon Up
2019-10-09,100.0,33.3333
2019-08-22,100.0,0.0
2019-07-31,100.0,0.0
2019-06-28,66.6667,33.3333
2019-05-31,100.0,66.6667
2019-04-30,0.0,100.0
2019-03-29,0.0,100.0
2019-02-28,33.3333,100.0
2019-01-31,66.6667,0.0
2018-12-31,100.0,0.0
2018-11-30,66.6667,33.3333
2018-10-31,100.0,66.6667
2018-09-28,66.6667,100.0
2018-08-31,0.0,66.6667
2018-07-31,0.0,100.0
2018-06-29,33.3333,0.0
2018-05-31,66.6667,33.3333
2018-04-30,100.0,66.6667
2018-03-29,66.6667,100.0
2018-02-28,100.0,66.6667
2018-01-31,66.6667,0.0
2017-12-29,100.0,0.0
2017-11-30,100.0,33.3333
2017-10-31,0.0,66.6667
2017-09-29,0.0,100.0
2017-08-31,0.0,100.0
2017-07-31,33.3333,100.0
2017-06-30,66.6667,0.0
2017-05-31,100.0,0.0
2017-04-28,100.0,0.0
2017-03-31,0.0,33.3333
2017-02-28,33.3333,0.0
2017-01-31,66.6667,33.3333
2016-12-30,100.0,66.6667
2016-11-30,100.0,100.0
2016-10-31,0.0,33.3333
2016-09-30,0.0,0.0
2016-08-31,33.3333,33.3333
2016-07-29,66.6667,0.0
2016-06-30,100.0,33.3333
2016-05-31,33.3333,66.6667
2016-04-29,66.6667,0.0
2016-03-31,100.0,0.0
2016-02-29,100.0,33.3333
2016-01-29,100.0,66.6667
2015-12-31,0.0,100.0
2015-11-30,33.3333,0.0
2015-10-30,66.6667,0.0
2015-09-30,100.0,33.3333
2015-08-31,0.0,66.6667
2015-07-31,33.3333,100.0
2015-06-30,66.6667,0.0
2015-05-29,100.0,33.3333
2015-04-30,100.0,66.6667
2015-03-31,66.6667,0.0
2015-02-27,100.0,33.3333
2015-01-30,0.0,66.6667
2014-12-31,33.3333,100.0
2014-11-28,0.0,100.0
2014-10-31,0.0,100.0
2014-09-30,33.3333,33.3333
2014-08-29,0.0,66.6667
2014-07-31,0.0,100.0
2014-06-30,33.3333,0.0
2014-05-30,66.6667,0.0
2014-04-30,0.0,33.3333
2014-03-31,0.0,66.6667
2014-02-28,0.0,100.0
2014-01-31,0.0,100.0
2013-12-31,33.3333,100.0
2013-11-29,66.6667,66.6667
2013-10-31,0.0,100.0
2013-09-30,0.0,33.3333
2013-08-30,33.3333,66.6667
2013-07-31,66.6667,100.0
2013-06-28,0.0,66.6667
2013-05-31,0.0,100.0
2013-04-30,33.3333,0.0
2013-03-28,66.6667,33.3333
2013-02-28,100.0,66.6667
2013-01-31,33.3333,0.0
2012-12-31,66.6667,33.3333
2012-11-30,100.0,66.6667
2012-10-31,100.0,100.0
2012-09-28,0.0,100.0
2012-08-31,0.0,66.6667
2012-07-31,33.3333,100.0
2012-06-29,66.6667,100.0
2012-05-31,0.0,33.3333
2012-04-30,0.0,66.6667
2012-03-30,0.0,100.0
2012-02-29,0.0,100.0
2012-01-31,0.0,100.0
2011-12-30,0.0,100.0
2011-11-30,0.0,66.6667
2011-10-31,33.3333,100.0
2011-09-30,0.0,100.0
2011-08-31,33.3333,0.0
2011-07-29,66.6667,0.0
2011-06-30,100.0,33.3333
2011-05-31,100.0,66.6667
2011-04-29,0.0,100.0
2011-03-31,0.0,100.0
2011-02-28,0.0,100.0
2011-01-31,0.0,100.0
2010-12-31,0.0,100.0
2010-11-30,0.0,100.0
2010-10-29,0.0,100.0
2010-09-30,33.3333,100.0
2010-08-31,0.0,100.0
2010-07-30,33.3333,0.0
2010-06-30,66.6667,33.3333
2010-05-28,100.0,66.6667
2010-04-30,0.0,100.0
2010-03-31,0.0,100.0
2010-02-26,0.0,100.0
2010-01-29,33.3333,100.0
2009-12-31,66.6667,100.0
2009-11-30,0.0,66.6667
2009-10-30,0.0,100.0
2009-09-30,0.0,100.0
2009-08-31,0.0,100.0
2009-07-31,33.3333,100.0
2009-06-30,0.0,100.0
2009-05-29,33.3333,0.0
2009-04-30,66.6667,33.3333
2009-03-31,0.0,66.6667
2009-02-27,0.0,0.0
2009-01-30,33.3333,0.0
2008-12-31,66.6667,0.0
2008-11-28,100.0,0.0
2008-10-31,100.0,33.3333
2008-09-30,100.0,66.6667
2008-08-29,100.0,100.0
2008-07-31,0.0,100.0
2008-06-30,0.0,66.6667
2008-05-30,33.3333,0.0
2008-04-30,66.6667,0.0
2008-03-31,100.0,33.3333
2008-02-29,100.0,66.6667
2008-01-31,100.0,0.0
2007-12-31,0.0,33.3333
2007-11-30,0.0,66.6667
2007-10-31,0.0,100.0
2007-09-28,0.0,66.6667
2007-08-31,0.0,100.0
2007-07-31,33.3333,100.0
2007-06-29,0.0,100.0
2007-05-31,33.3333,100.0
2007-04-30,66.6667,66.6667
2007-03-30,100.0,100.0
2007-02-28,100.0,0.0
2007-01-31,0.0,33.3333
2006-12-29,0.0,66.6667
2006-11-30,0.0,100.0
2006-10-31,33.3333,100.0
2006-09-29,66.6667,66.6667
2006-08-31,0.0,100.0
2006-07-31,33.3333,66.6667
2006-06-30,66.6667,0.0
2006-05-31,0.0,33.3333
2006-04-28,0.0,66.6667
2006-03-31,0.0,100.0
2006-02-28,0.0,100.0
2006-01-31,33.3333,100.0
2005-12-30,66.6667,0.0
2005-11-30,100.0,33.3333
2005-10-31,0.0,66.6667
2005-09-30,0.0,100.0
2005-08-31,0.0,100.0
2005-07-29,0.0,100.0
2005-06-30,0.0,100.0
2005-05-31,33.3333,0.0
2005-04-29,66.6667,33.3333
2005-03-31,100.0,66.6667
2005-02-28,0.0,100.0
2005-01-31,0.0,66.6667
2004-12-31,0.0,100.0
2004-11-30,0.0,100.0
2004-10-29,33.3333,100.0
2004-09-30,66.6667,0.0
2004-08-31,100.0,0.0
2004-07-30,100.0,0.0
2004-06-30,100.0,0.0
2004-05-28,0.0,33.3333
2004-04-30,0.0,66.6667
2004-03-31,0.0,100.0
2004-02-27,0.0,100.0
2004-01-30,33.3333,0.0
2003-12-31,0.0,33.3333
2003-11-28,0.0,66.6667
2003-10-31,33.3333,100.0
2003-09-30,66.6667,0.0
2003-08-29,100.0,33.3333
2003-07-31,0.0,66.6667
2003-06-30,0.0,100.0
2003-05-30,33.3333,66.6667
2003-04-30,66.6667,100.0
2003-03-31,100.0,0.0
2003-02-28,0.0,0.0
2003-01-31,0.0,33.3333
2002-12-31,33.3333,66.6667
2002-11-29,66.6667,100.0
2002-10-31,100.0,0.0
2002-09-30,100.0,33.3333
2002-08-30,66.6667,0.0
2002-07-31,100.0,0.0
