Date,ABT_sharpe,AGN_sharpe,ALXN_sharpe,AMGN_sharpe,BAX_sharpe,BIIB_sharpe,BMRN_sharpe,BMY_sharpe,CELG_sharpe,DHR_sharpe,GILD_sharpe,ILMN_sharpe,INCY_sharpe,JNJ_sharpe,LH_sharpe,LLY_sharpe,MRK_sharpe,PFE_sharpe,REGN_sharpe,SYK_sharpe
1998-06-30,sell,hold,buy,hold,sell,buy,,sell,buy,sell,hold,,hold,sell,buy,hold,hold,hold,buy,hold
1998-07-31,sell,hold,buy,sell,sell,hold,,sell,buy,hold,buy,,hold,sell,buy,hold,hold,hold,buy,hold
1998-08-31,sell,sell,hold,hold,hold,hold,,hold,buy,hold,hold,,buy,sell,buy,sell,hold,sell,buy,buy
1998-09-30,sell,sell,hold,hold,hold,buy,,sell,buy,hold,hold,,buy,sell,buy,sell,hold,hold,buy,hold
1998-10-30,sell,sell,buy,hold,hold,hold,,sell,buy,hold,hold,,buy,hold,buy,sell,sell,hold,buy,hold
1998-11-30,sell,sell,buy,hold,hold,hold,,hold,buy,hold,hold,,buy,sell,buy,sell,sell,hold,buy,hold
1998-12-31,sell,hold,buy,hold,sell,hold,,sell,buy,buy,hold,,hold,sell,buy,hold,hold,sell,buy,hold
1999-01-29,sell,hold,buy,hold,sell,hold,,hold,buy,hold,hold,,buy,sell,hold,sell,hold,sell,buy,buy
1999-02-26,sell,hold,buy,hold,sell,buy,,hold,buy,hold,hold,,buy,sell,hold,sell,hold,sell,buy,hold
1999-03-31,sell,hold,buy,hold,hold,buy,,sell,buy,hold,hold,,buy,sell,hold,hold,sell,sell,buy,hold
1999-04-30,sell,sell,buy,buy,sell,buy,,sell,buy,hold,hold,,hold,sell,hold,hold,hold,hold,buy,hold
1999-06-30,sell,sell,buy,hold,sell,buy,,sell,buy,hold,hold,,buy,sell,hold,hold,hold,hold,buy,hold
1999-07-30,sell,sell,buy,hold,hold,buy,,sell,buy,hold,hold,,buy,sell,hold,sell,hold,hold,buy,hold
1999-08-31,sell,sell,buy,hold,hold,buy,,sell,buy,hold,buy,,buy,sell,hold,hold,sell,hold,hold,hold
1999-09-30,sell,hold,buy,hold,hold,buy,,sell,buy,hold,hold,,buy,hold,hold,hold,sell,sell,buy,sell
1999-10-29,hold,sell,buy,hold,sell,buy,,sell,buy,sell,buy,,hold,hold,hold,hold,hold,sell,buy,hold
1999-11-30,hold,hold,buy,sell,sell,buy,,sell,buy,sell,hold,,buy,hold,hold,hold,hold,sell,buy,hold
1999-12-31,hold,hold,buy,hold,sell,buy,hold,sell,buy,sell,hold,,buy,hold,hold,sell,hold,sell,buy,hold
2000-01-31,sell,sell,buy,hold,sell,hold,hold,hold,buy,sell,buy,,buy,hold,hold,sell,hold,hold,buy,hold
2000-02-29,sell,hold,hold,hold,hold,hold,buy,sell,buy,sell,buy,,buy,sell,hold,sell,hold,hold,buy,hold
2000-03-31,sell,sell,buy,hold,hold,buy,hold,sell,buy,hold,hold,,buy,sell,hold,sell,hold,hold,buy,hold
2000-04-28,sell,sell,buy,sell,hold,hold,buy,sell,buy,hold,hold,,buy,hold,hold,hold,hold,sell,buy,hold
2000-05-31,sell,sell,buy,hold,hold,hold,buy,sell,buy,hold,hold,,buy,hold,hold,hold,hold,sell,buy,sell
2000-06-30,sell,hold,buy,hold,sell,buy,hold,sell,buy,hold,hold,,buy,hold,hold,hold,sell,sell,buy,hold
2000-07-31,sell,hold,buy,hold,sell,buy,hold,sell,buy,hold,hold,,buy,hold,hold,hold,sell,hold,buy,sell
2000-08-31,sell,hold,buy,hold,sell,buy,hold,sell,buy,hold,hold,,buy,hold,hold,hold,sell,sell,buy,hold
2000-09-29,sell,sell,buy,hold,sell,buy,hold,hold,buy,hold,hold,,buy,hold,hold,hold,sell,sell,buy,hold
2000-10-31,hold,sell,buy,hold,sell,hold,buy,hold,buy,hold,buy,,hold,sell,hold,hold,hold,sell,buy,sell
2000-11-30,sell,hold,buy,hold,sell,hold,hold,sell,buy,hold,buy,,buy,sell,hold,hold,hold,sell,buy,hold
2000-12-29,hold,hold,buy,hold,sell,hold,buy,sell,buy,hold,hold,buy,hold,sell,hold,sell,hold,sell,buy,hold
2001-01-31,sell,hold,hold,hold,sell,hold,buy,hold,buy,hold,hold,buy,buy,sell,hold,sell,hold,sell,buy,hold
2001-02-28,hold,hold,hold,sell,sell,hold,buy,hold,buy,sell,hold,buy,buy,hold,hold,hold,sell,sell,buy,hold
2001-03-30,hold,sell,hold,hold,sell,hold,hold,hold,buy,hold,hold,buy,buy,hold,buy,sell,sell,sell,buy,hold
2001-04-30,sell,sell,buy,hold,sell,hold,hold,hold,buy,hold,hold,buy,buy,hold,hold,hold,sell,sell,buy,hold
2001-05-31,hold,hold,buy,hold,sell,hold,hold,sell,buy,hold,hold,buy,buy,hold,hold,sell,sell,sell,buy,hold
2001-06-29,hold,hold,buy,hold,sell,buy,hold,sell,buy,hold,hold,buy,hold,sell,hold,hold,sell,sell,buy,hold
2001-07-31,hold,hold,buy,hold,sell,buy,hold,sell,buy,hold,hold,hold,buy,sell,hold,hold,sell,sell,buy,hold
2001-08-31,hold,hold,buy,hold,sell,hold,hold,sell,buy,hold,hold,buy,buy,sell,hold,hold,sell,sell,buy,hold
2001-09-28,hold,hold,buy,hold,sell,hold,hold,sell,buy,hold,hold,buy,buy,sell,hold,hold,sell,sell,buy,hold
2001-10-31,hold,hold,buy,hold,hold,hold,hold,sell,buy,hold,hold,buy,buy,sell,hold,sell,sell,sell,buy,hold
2001-11-30,hold,hold,buy,hold,hold,buy,hold,sell,buy,hold,buy,hold,hold,sell,hold,sell,sell,sell,buy,hold
2001-12-31,sell,hold,buy,hold,hold,buy,hold,sell,buy,hold,buy,hold,hold,sell,hold,sell,hold,sell,buy,hold
2002-01-31,sell,hold,buy,hold,hold,buy,hold,sell,buy,hold,buy,hold,hold,sell,hold,sell,hold,sell,buy,hold
2002-02-28,sell,hold,buy,hold,sell,buy,hold,sell,buy,hold,buy,hold,hold,sell,hold,hold,hold,sell,buy,hold
2002-04-30,sell,hold,buy,hold,sell,buy,hold,hold,buy,hold,buy,hold,hold,sell,hold,sell,hold,sell,buy,hold
2002-05-31,hold,hold,buy,hold,sell,buy,hold,hold,buy,hold,hold,hold,buy,sell,hold,sell,sell,sell,buy,hold
2002-06-28,hold,sell,buy,hold,hold,buy,hold,hold,buy,hold,hold,hold,buy,sell,hold,sell,sell,sell,buy,hold
2002-07-31,hold,hold,buy,hold,sell,hold,hold,hold,buy,hold,buy,hold,buy,sell,hold,sell,sell,sell,buy,hold
2002-08-30,hold,hold,buy,hold,sell,hold,hold,hold,buy,buy,hold,hold,buy,sell,hold,sell,sell,sell,buy,hold
2002-09-30,hold,hold,buy,hold,sell,hold,hold,sell,buy,buy,buy,hold,hold,hold,hold,sell,sell,sell,buy,hold
2002-10-31,hold,hold,buy,hold,sell,hold,hold,sell,buy,hold,buy,hold,buy,sell,hold,sell,hold,sell,buy,hold
2002-11-29,hold,sell,hold,hold,hold,hold,hold,sell,buy,buy,buy,buy,hold,sell,hold,sell,hold,sell,buy,hold
2002-12-31,hold,hold,hold,hold,hold,hold,hold,sell,buy,buy,buy,hold,hold,sell,hold,sell,sell,sell,buy,buy
2003-01-31,hold,hold,hold,hold,hold,hold,hold,sell,buy,buy,buy,hold,buy,sell,hold,sell,sell,sell,buy,hold
2003-02-28,hold,hold,hold,buy,hold,hold,hold,sell,buy,buy,buy,hold,hold,sell,hold,sell,sell,sell,buy,hold
2003-03-31,hold,hold,buy,buy,hold,hold,hold,sell,buy,buy,hold,hold,buy,sell,hold,sell,sell,sell,hold,hold
2003-04-30,hold,hold,buy,buy,hold,hold,hold,sell,buy,buy,hold,buy,hold,sell,hold,sell,sell,sell,hold,hold
2003-05-30,hold,hold,buy,buy,hold,hold,hold,sell,buy,buy,hold,hold,hold,sell,buy,sell,sell,sell,hold,hold
2003-06-30,hold,hold,buy,buy,hold,hold,hold,sell,buy,buy,hold,hold,hold,sell,hold,sell,sell,sell,hold,buy
2003-07-31,hold,hold,buy,buy,hold,hold,hold,sell,buy,buy,buy,hold,hold,sell,hold,sell,sell,sell,hold,hold
2003-08-29,hold,hold,hold,hold,hold,buy,hold,sell,buy,buy,buy,hold,hold,sell,hold,sell,sell,sell,hold,buy
2003-09-30,hold,hold,hold,hold,hold,buy,hold,sell,buy,buy,hold,hold,hold,sell,buy,sell,sell,sell,buy,hold
2003-10-31,hold,hold,hold,buy,hold,buy,hold,sell,buy,hold,hold,hold,hold,sell,hold,sell,sell,sell,buy,buy
2003-11-28,hold,hold,hold,buy,hold,buy,hold,sell,buy,hold,hold,hold,hold,sell,hold,sell,sell,sell,buy,buy
2003-12-31,hold,hold,buy,hold,hold,buy,hold,sell,buy,hold,hold,hold,buy,sell,hold,sell,sell,sell,hold,buy
2004-01-30,hold,hold,buy,hold,hold,hold,hold,sell,buy,hold,buy,hold,buy,sell,hold,sell,sell,sell,hold,buy
2004-02-27,hold,hold,hold,hold,hold,hold,buy,sell,buy,hold,buy,hold,hold,sell,hold,sell,sell,sell,buy,buy
2004-03-31,hold,hold,hold,hold,hold,hold,buy,sell,buy,hold,buy,hold,hold,sell,hold,sell,sell,sell,buy,buy
2004-04-30,hold,hold,hold,hold,hold,hold,buy,sell,buy,buy,buy,hold,hold,sell,hold,sell,sell,sell,buy,hold
2004-06-30,hold,hold,hold,hold,hold,hold,buy,sell,buy,hold,buy,hold,buy,sell,hold,sell,sell,sell,buy,hold
2004-07-30,hold,hold,buy,hold,hold,buy,hold,sell,buy,hold,hold,hold,hold,sell,buy,sell,sell,sell,buy,hold
2004-08-31,hold,hold,buy,hold,hold,buy,hold,sell,buy,hold,buy,hold,hold,sell,hold,sell,sell,sell,buy,hold
2004-09-30,sell,hold,buy,hold,hold,buy,hold,sell,buy,hold,buy,hold,hold,sell,hold,sell,hold,sell,buy,hold
2004-10-29,sell,hold,buy,hold,hold,buy,hold,sell,buy,hold,hold,buy,hold,sell,hold,sell,hold,sell,buy,hold
2004-11-30,sell,hold,buy,hold,hold,buy,hold,sell,buy,hold,hold,buy,hold,hold,sell,sell,hold,sell,buy,hold
2004-12-31,hold,hold,buy,hold,hold,buy,hold,sell,buy,hold,hold,buy,hold,sell,sell,sell,hold,sell,buy,hold
2005-01-31,sell,hold,buy,hold,hold,hold,hold,sell,buy,hold,hold,buy,buy,sell,hold,sell,hold,sell,buy,hold
2005-02-28,hold,hold,buy,hold,sell,buy,hold,sell,buy,sell,hold,buy,hold,sell,hold,sell,hold,hold,buy,hold
2005-03-31,hold,hold,buy,hold,hold,buy,hold,sell,buy,sell,hold,buy,hold,sell,sell,sell,hold,hold,buy,hold
2005-04-29,sell,hold,buy,sell,hold,buy,hold,hold,buy,sell,hold,buy,hold,sell,sell,hold,hold,hold,buy,hold
2005-05-31,sell,hold,buy,hold,hold,buy,hold,sell,buy,hold,hold,buy,hold,sell,sell,hold,hold,sell,buy,hold
2005-06-30,sell,sell,buy,hold,hold,hold,hold,sell,buy,hold,hold,buy,buy,sell,hold,hold,hold,sell,buy,hold
2005-07-29,hold,hold,buy,hold,hold,hold,sell,sell,buy,hold,hold,buy,buy,sell,sell,hold,hold,sell,buy,hold
2005-08-31,sell,hold,hold,hold,hold,buy,hold,sell,buy,hold,hold,buy,buy,sell,hold,sell,hold,sell,buy,hold
2005-09-30,hold,hold,hold,hold,sell,buy,hold,sell,buy,hold,hold,buy,buy,sell,hold,sell,hold,sell,buy,hold
2005-10-31,sell,hold,buy,hold,sell,hold,hold,hold,buy,hold,hold,buy,buy,sell,sell,sell,hold,hold,buy,hold
2005-11-30,hold,hold,buy,hold,sell,hold,hold,sell,buy,hold,hold,buy,buy,sell,hold,sell,hold,sell,buy,hold
2005-12-30,hold,sell,buy,hold,sell,hold,hold,hold,buy,sell,hold,buy,buy,sell,hold,hold,sell,hold,buy,hold
2006-01-31,hold,sell,buy,hold,sell,hold,hold,hold,hold,sell,hold,buy,buy,sell,hold,hold,sell,hold,buy,buy
2006-02-28,buy,hold,buy,hold,sell,hold,sell,sell,hold,hold,hold,buy,buy,sell,hold,hold,sell,hold,buy,hold
2006-03-31,hold,hold,buy,hold,sell,hold,hold,sell,buy,sell,hold,buy,buy,sell,hold,hold,sell,hold,buy,hold
2006-04-28,hold,hold,buy,hold,sell,hold,hold,sell,buy,sell,hold,buy,buy,sell,hold,sell,hold,hold,buy,hold
2006-05-31,sell,hold,buy,hold,sell,hold,hold,hold,buy,hold,hold,buy,buy,sell,hold,sell,sell,hold,buy,hold
2006-06-30,sell,hold,buy,hold,sell,hold,hold,hold,buy,sell,hold,buy,buy,sell,hold,hold,hold,hold,buy,sell
2006-07-31,sell,hold,buy,hold,hold,hold,hold,hold,buy,sell,hold,buy,buy,sell,sell,sell,hold,hold,buy,hold
2006-08-31,hold,hold,buy,hold,hold,hold,hold,hold,buy,sell,sell,buy,buy,sell,sell,sell,hold,hold,buy,hold
2006-09-29,hold,hold,buy,hold,hold,hold,hold,hold,buy,sell,sell,buy,buy,sell,hold,sell,sell,hold,buy,hold
2006-10-31,hold,hold,buy,hold,hold,hold,hold,hold,buy,sell,hold,buy,buy,sell,hold,sell,sell,hold,buy,sell
2006-11-30,sell,hold,buy,hold,hold,hold,hold,hold,buy,sell,hold,buy,buy,sell,hold,sell,hold,hold,buy,sell
2006-12-29,sell,hold,buy,hold,sell,hold,hold,hold,buy,sell,hold,buy,buy,sell,hold,sell,hold,hold,buy,hold
2007-01-31,hold,hold,buy,hold,hold,hold,buy,hold,buy,sell,sell,buy,hold,sell,sell,sell,hold,hold,buy,hold
2007-02-28,hold,hold,buy,hold,hold,hold,buy,hold,hold,sell,hold,buy,buy,sell,sell,sell,sell,hold,buy,hold
2007-03-30,hold,sell,buy,hold,sell,hold,buy,hold,hold,sell,hold,buy,buy,hold,hold,sell,sell,hold,buy,hold
2007-04-30,sell,sell,buy,hold,sell,hold,hold,hold,buy,sell,hold,buy,buy,hold,hold,hold,hold,sell,buy,hold
2007-05-31,sell,hold,buy,hold,sell,hold,hold,hold,buy,sell,hold,buy,buy,hold,hold,hold,hold,sell,buy,sell
2007-06-29,sell,hold,buy,hold,sell,hold,hold,sell,buy,sell,hold,buy,buy,sell,hold,hold,hold,hold,buy,hold
2007-07-31,sell,hold,buy,hold,hold,sell,hold,hold,buy,sell,hold,buy,buy,sell,hold,hold,hold,hold,buy,sell
2007-08-31,sell,hold,buy,hold,hold,hold,hold,hold,buy,sell,hold,buy,buy,sell,hold,sell,sell,hold,buy,hold
2007-09-28,sell,hold,buy,hold,hold,hold,hold,hold,buy,sell,hold,buy,buy,sell,hold,sell,sell,hold,buy,hold
2007-10-31,sell,hold,buy,hold,hold,hold,hold,hold,buy,sell,buy,hold,buy,sell,hold,sell,hold,hold,buy,sell
2007-11-30,sell,hold,buy,hold,sell,hold,hold,sell,buy,hold,buy,hold,buy,sell,hold,hold,hold,hold,buy,sell
2007-12-31,sell,hold,buy,hold,hold,buy,hold,hold,buy,hold,hold,hold,buy,sell,hold,sell,hold,sell,buy,sell
2008-01-31,sell,sell,buy,hold,hold,buy,hold,hold,buy,hold,hold,hold,buy,sell,hold,sell,hold,sell,buy,hold
2008-02-29,hold,hold,buy,hold,sell,hold,hold,sell,buy,hold,buy,buy,hold,sell,hold,sell,hold,sell,buy,hold
